time,Temperature_B,Temperature_D,Temperature_A,Temperature_C,hour
2022-08-09 18:05:00,97,91,98,90,18
2022-08-09 18:10:00,97,95,98,90,18
2022-08-09 18:15:00,93,89,99,90,18
2022-08-09 18:20:00,98,87,99,92,18
2022-08-09 18:25:00,93,94,99,87,18
2022-08-09 18:30:00,99,95,98,93,18
2022-08-09 18:35:00,95,84,99,90,18
2022-08-09 18:40:00,100,90,99,93,18
2022-08-09 18:45:00,96,95,99,90,18
2022-08-09 18:50:00,96,96,99,91,18
2022-08-09 18:55:00,97,84,100,89,18
2022-08-09 19:00:00,83,93,100,75,19
2022-08-09 19:05:00,78,84,99,77,19
2022-08-09 19:10:00,75,90,98,71,19
2022-08-09 19:15:00,73,85,97,74,19
2022-08-09 19:20:00,73,89,96,70,19
2022-08-09 19:25:00,71,85,95,72,19
2022-08-09 19:30:00,76,92,94,73,19
2022-08-09 19:35:00,88,83,95,82,19
2022-08-09 19:40:00,93,89,95,88,19
2022-08-09 19:45:00,96,92,95,92,19
2022-08-09 19:50:00,98,93,96,94,19
2022-08-09 19:55:00,99,94,96,95,19
2022-08-09 20:00:00,94,95,97,91,20
2022-08-09 20:05:00,96,95,98,92,20
2022-08-09 20:10:00,99,95,98,95,20
2022-08-09 20:15:00,94,85,99,91,20
2022-08-09 20:20:00,98,90,98,94,20
2022-08-09 20:25:00,95,94,98,92,20
2022-08-09 20:30:00,97,95,99,92,20
2022-08-09 20:35:00,99,95,98,96,20
2022-08-09 20:40:00,95,84,100,90,20
2022-08-09 20:45:00,81,93,100,76,20
2022-08-09 20:50:00,76,82,99,76,20
2022-08-09 20:55:00,74,93,98,70,20
2022-08-09 21:00:00,72,82,97,73,21
2022-08-09 21:05:00,71,92,96,68,21
2022-08-09 21:10:00,71,81,95,72,21
2022-08-09 21:15:00,71,91,94,68,21
2022-08-09 21:20:00,84,93,94,81,21
2022-08-09 21:25:00,91,94,94,88,21
2022-08-09 21:30:00,94,94,95,92,21
2022-08-09 21:35:00,96,95,96,94,21
2022-08-09 21:40:00,97,95,96,96,21
2022-08-09 21:45:00,98,95,97,97,21
2022-08-09 21:50:00,99,95,97,97,21
2022-08-09 21:55:00,99,96,98,98,21
2022-08-09 22:00:00,94,86,99,92,22
2022-08-09 22:05:00,97,89,98,94,22
2022-08-09 22:10:00,99,94,98,97,22
2022-08-09 22:15:00,93,95,99,90,22
2022-08-09 22:20:00,97,96,99,94,22
2022-08-09 22:25:00,99,96,99,97,22
2022-08-09 22:30:00,89,84,100,89,22
2022-08-09 22:35:00,78,93,100,75,22
2022-08-09 22:40:00,75,82,99,76,22
2022-08-09 22:45:00,73,93,98,70,22
2022-08-09 22:50:00,71,83,97,73,22
2022-08-09 22:55:00,70,92,96,68,22
2022-08-09 23:00:00,70,83,95,71,23
2022-08-09 23:05:00,69,91,95,68,23
2022-08-09 23:10:00,77,93,94,74,23
2022-08-09 23:15:00,87,94,94,85,23
2022-08-09 23:20:00,92,94,95,90,23
2022-08-09 23:25:00,94,95,96,93,23
2022-08-09 23:30:00,96,95,96,95,23
2022-08-09 23:35:00,97,95,97,96,23
2022-08-09 23:40:00,98,95,97,97,23
2022-08-09 23:45:00,98,95,98,98,23
2022-08-09 23:50:00,99,96,98,98,23
2022-08-09 23:55:00,99,96,98,99,23
2022-08-10 00:00:00,93,97,99,91,0
2022-08-10 00:05:00,97,97,99,95,0
2022-08-10 00:10:00,99,97,99,98,0
2022-08-10 00:15:00,88,91,100,88,0
2022-08-10 00:20:00,77,90,100,78,0
2022-08-10 00:25:00,75,86,99,74,0
2022-08-10 00:30:00,72,90,98,71,0
2022-08-10 00:35:00,71,87,97,70,0
2022-08-10 00:40:00,69,88,96,69,0
2022-08-10 00:45:00,70,91,96,67,0
2022-08-10 00:50:00,68,86,95,69,0
2022-08-10 00:55:00,70,93,94,67,0
2022-08-10 01:00:00,83,94,94,80,1
2022-08-10 01:05:00,89,94,95,88,1
2022-08-10 01:10:00,93,94,95,92,1
2022-08-10 01:15:00,95,95,96,94,1
2022-08-10 01:20:00,96,95,97,96,1
2022-08-10 01:25:00,97,95,97,97,1
2022-08-10 01:30:00,97,95,98,97,1
2022-08-10 01:35:00,98,96,98,98,1
2022-08-10 01:40:00,98,96,98,99,1
2022-08-10 01:50:00,99,96,99,99,1
2022-08-10 01:55:00,94,97,99,94,1
2022-08-10 02:00:00,80,85,100,82,2
2022-08-10 02:05:00,74,93,100,73,2
2022-08-10 02:10:00,73,85,99,73,2
2022-08-10 02:15:00,70,91,98,69,2
2022-08-10 02:20:00,70,87,97,70,2
2022-08-10 02:25:00,69,89,96,68,2
2022-08-10 02:30:00,69,92,95,67,2
2022-08-10 02:35:00,67,85,95,69,2
2022-08-10 02:40:00,75,92,94,73,2
2022-08-10 02:45:00,85,93,94,84,2
2022-08-10 02:50:00,90,94,95,90,2
2022-08-10 02:55:00,93,94,95,93,2
2022-08-10 03:00:00,94,95,96,95,3
2022-08-10 03:05:00,95,95,96,96,3
2022-08-10 03:10:00,96,95,97,97,3
2022-08-10 03:15:00,97,95,97,97,3
2022-08-10 03:20:00,97,95,98,98,3
2022-08-10 03:25:00,98,95,98,98,3
2022-08-10 03:30:00,98,96,98,99,3
2022-08-10 03:35:00,98,96,98,99,3
2022-08-10 03:40:00,92,97,99,91,3
2022-08-10 03:45:00,79,83,100,83,3
2022-08-10 03:50:00,74,94,100,72,3
2022-08-10 03:55:00,71,83,99,73,3
2022-08-10 04:00:00,70,92,98,68,4
2022-08-10 04:05:00,70,86,97,69,4
2022-08-10 04:10:00,68,89,96,68,4
2022-08-10 04:15:00,69,90,96,67,4
2022-08-10 04:20:00,67,86,95,68,4
2022-08-10 04:25:00,72,93,94,70,4
2022-08-10 04:30:00,83,93,94,83,4
2022-08-10 04:35:00,89,94,94,89,4
2022-08-10 04:40:00,92,94,95,93,4
2022-08-10 04:45:00,93,94,96,94,4
2022-08-10 04:50:00,95,94,97,96,4
2022-08-10 04:55:00,95,95,97,97,4
2022-08-10 05:00:00,96,95,98,97,5
2022-08-10 05:05:00,97,95,98,98,5
2022-08-10 05:10:00,97,95,98,98,5
2022-08-10 05:15:00,98,95,99,99,5
2022-08-10 05:20:00,98,96,99,99,5
2022-08-10 05:25:00,92,96,100,92,5
2022-08-10 05:30:00,79,85,100,81,5
2022-08-10 05:35:00,74,92,100,72,5
2022-08-10 05:40:00,72,86,99,73,5
2022-08-10 05:45:00,70,91,98,69,5
2022-08-10 05:50:00,70,86,97,70,5
2022-08-10 05:55:00,68,89,96,69,5
2022-08-10 06:00:00,69,93,95,67,6
2022-08-10 06:05:00,67,86,95,69,6
2022-08-10 06:10:00,73,92,94,72,6
2022-08-10 06:15:00,84,93,94,84,6
2022-08-10 06:20:00,89,93,95,90,6
2022-08-10 06:25:00,92,94,95,93,6
2022-08-10 06:30:00,93,94,96,95,6
2022-08-10 06:35:00,94,94,97,96,6
2022-08-10 06:40:00,95,94,97,97,6
2022-08-10 06:45:00,96,95,98,97,6
2022-08-10 06:50:00,97,95,98,98,6
2022-08-10 06:55:00,97,95,98,98,6
2022-08-10 07:00:00,97,96,99,99,7
2022-08-10 07:05:00,98,95,99,99,7
2022-08-10 07:10:00,96,96,99,98,7
2022-08-10 07:15:00,81,97,100,78,7
2022-08-10 07:20:00,74,86,100,77,7
2022-08-10 07:25:00,72,94,99,70,7
2022-08-10 07:30:00,70,83,98,73,7
2022-08-10 07:35:00,69,92,97,68,7
2022-08-10 07:40:00,68,81,96,71,7
2022-08-10 07:45:00,68,91,95,67,7
2022-08-10 07:50:00,68,85,95,68,7
2022-08-10 07:55:00,69,87,94,69,7
2022-08-10 08:00:00,81,91,93,81,8
2022-08-10 08:05:00,87,93,94,88,8
2022-08-10 08:10:00,90,93,95,92,8
2022-08-10 08:15:00,92,94,95,94,8
2022-08-10 08:20:00,94,94,96,95,8
2022-08-10 08:25:00,95,94,97,96,8
2022-08-10 08:30:00,95,95,97,97,8
2022-08-10 08:35:00,96,95,98,98,8
2022-08-10 08:40:00,96,95,98,98,8
2022-08-10 08:45:00,97,95,98,98,8
2022-08-10 08:50:00,97,95,99,99,8
2022-08-10 08:55:00,98,96,99,99,8
2022-08-10 09:00:00,98,96,99,99,9
2022-08-10 09:05:00,82,96,100,80,9
2022-08-10 09:10:00,74,86,100,77,9
2022-08-10 09:15:00,73,93,99,70,9
2022-08-10 09:20:00,70,85,98,72,9
2022-08-10 09:25:00,70,94,97,68,9
2022-08-10 09:30:00,69,83,96,72,9
2022-08-10 09:35:00,68,92,95,67,9
2022-08-10 09:40:00,68,81,95,71,9
2022-08-10 09:45:00,75,90,94,75,9
2022-08-10 09:50:00,85,92,94,85,9
2022-08-10 09:55:00,89,93,95,91,9
2022-08-10 10:00:00,92,93,95,93,10
2022-08-10 10:05:00,94,94,96,95,10
2022-08-10 10:10:00,95,94,97,96,10
2022-08-10 10:15:00,95,95,97,97,10
2022-08-10 10:20:00,96,95,98,98,10
2022-08-10 10:25:00,97,95,98,98,10
2022-08-10 10:30:00,97,96,98,99,10
2022-08-10 10:35:00,98,95,99,99,10
2022-08-10 10:40:00,91,96,100,92,10
2022-08-10 10:45:00,80,87,100,81,10
2022-08-10 10:50:00,74,90,100,74,10
2022-08-10 10:55:00,72,84,98,74,10
2022-08-10 11:00:00,70,90,97,70,11
2022-08-10 11:05:00,70,83,96,72,11
2022-08-10 15:25:00,81,88,100,83,15
2022-08-10 15:30:00,76,82,99,80,15
2022-08-10 15:35:00,72,85,98,76,15
2022-08-10 15:40:00,72,82,97,75,15
2022-08-10 15:45:00,70,86,96,73,15
2022-08-10 15:50:00,70,81,95,74,15
2022-08-10 15:55:00,70,85,94,72,15
2022-08-10 16:00:00,82,87,94,83,16
2022-08-10 16:05:00,88,81,95,87,16
2022-08-10 16:10:00,91,88,95,91,16
2022-08-10 16:15:00,93,90,96,94,16
2022-08-10 16:20:00,94,81,98,94,16
2022-08-10 16:25:00,95,88,97,95,16
2022-08-10 16:30:00,96,91,98,97,16
2022-08-10 16:35:00,96,92,98,98,16
2022-08-10 16:40:00,97,92,98,98,16
2022-08-10 16:45:00,98,92,99,99,16
2022-08-10 16:50:00,96,92,99,98,16
2022-08-10 16:55:00,94,92,99,94,16
2022-08-10 17:00:00,97,92,99,97,17
2022-08-10 17:05:00,93,93,100,95,17
2022-08-10 17:10:00,79,94,100,78,17
2022-08-10 17:15:00,76,85,99,78,17
2022-08-10 17:20:00,73,79,98,80,17
2022-08-10 17:25:00,71,86,97,75,17
2022-08-10 17:30:00,71,86,96,72,17
2022-08-10 17:35:00,70,80,95,76,17
2022-08-10 17:40:00,69,88,95,71,17
2022-08-10 17:45:00,79,79,95,77,17
2022-08-10 17:50:00,86,86,95,85,17
2022-08-10 17:55:00,91,89,95,91,17
2022-08-10 18:00:00,93,90,96,94,18
2022-08-10 18:05:00,95,91,97,96,18
2022-08-10 18:10:00,96,92,97,97,18
2022-08-10 18:15:00,97,92,98,98,18
2022-08-10 18:20:00,97,93,98,99,18
2022-08-10 18:25:00,98,93,99,99,18
2022-08-10 18:30:00,92,94,99,93,18
2022-08-10 18:35:00,82,84,100,87,18
2022-08-10 18:40:00,75,82,99,82,18
2022-08-10 18:45:00,73,83,98,76,18
2022-08-10 18:50:00,71,84,97,75,18
2022-08-10 18:55:00,70,82,96,73,18
2022-08-10 19:00:00,69,85,95,72,19
2022-08-10 19:05:00,70,82,94,72,19
2022-08-10 19:10:00,82,83,94,81,19
2022-08-10 19:15:00,88,89,94,89,19
2022-08-10 19:20:00,91,90,95,93,19
2022-08-10 19:25:00,93,91,96,95,19
2022-08-10 19:30:00,95,92,97,96,19
2022-08-10 19:35:00,96,92,97,97,19
2022-08-10 19:40:00,96,92,98,98,19
2022-08-10 19:45:00,97,93,98,99,19
2022-08-10 19:50:00,97,93,99,99,19
2022-08-10 19:55:00,92,94,99,92,19
2022-08-10 20:00:00,96,94,99,96,20
2022-08-10 20:05:00,98,94,99,99,20
2022-08-10 20:10:00,86,92,100,86,20
2022-08-10 20:15:00,77,81,100,83,20
2022-08-10 20:20:00,74,87,99,75,20
2022-08-10 20:25:00,72,83,98,77,20
2022-08-10 20:30:00,71,84,96,74,20
2022-08-10 20:35:00,70,85,96,74,20
2022-08-10 20:40:00,69,83,95,73,20
2022-08-10 20:45:00,70,85,94,74,20
2022-08-10 20:50:00,82,89,94,84,20
2022-08-10 20:55:00,88,91,95,90,20
2022-08-10 21:00:00,92,91,95,94,21
2022-08-10 21:05:00,94,92,96,96,21
2022-08-10 21:10:00,95,92,97,97,21
2022-08-10 21:15:00,96,93,97,98,21
2022-08-10 21:20:00,96,93,98,98,21
2022-08-10 21:25:00,97,93,98,99,21
2022-08-10 21:30:00,96,94,99,98,21
2022-08-10 21:35:00,94,95,99,94,21
2022-08-10 21:40:00,96,95,99,97,21
2022-08-10 21:45:00,98,94,99,99,21
2022-08-10 21:50:00,83,86,100,88,21
2022-08-10 21:55:00,76,83,100,79,21
2022-08-10 22:00:00,73,88,98,74,22
2022-08-10 22:05:00,72,82,97,76,22
2022-08-10 22:10:00,70,89,96,72,22
2022-08-10 22:15:00,70,80,95,75,22
2022-08-10 22:20:00,69,89,95,70,22
2022-08-10 22:25:00,77,78,94,76,22
2022-08-10 22:30:00,85,86,94,84,22
2022-08-10 22:35:00,89,90,95,90,22
2022-08-10 22:40:00,92,91,96,94,22
2022-08-10 22:45:00,94,91,96,96,22
2022-08-10 22:50:00,95,92,97,97,22
2022-08-10 22:55:00,96,93,98,98,22
2022-08-10 23:00:00,97,93,98,98,23
2022-08-10 23:05:00,97,93,98,99,23
2022-08-10 23:10:00,97,94,99,99,23
2022-08-10 23:15:00,93,94,99,94,23
2022-08-10 23:20:00,97,94,99,97,23
2022-08-10 23:25:00,98,94,99,99,23
2022-08-10 23:30:00,84,90,100,85,23
2022-08-10 23:35:00,77,81,99,83,23
2022-08-10 23:40:00,73,87,98,75,23
2022-08-10 23:45:00,72,81,97,78,23
2022-08-10 23:50:00,71,86,96,73,23
2022-08-10 23:55:00,70,82,95,75,23
2022-08-11 00:00:00,69,84,95,72,0
2022-08-11 00:05:00,77,82,94,79,0
2022-08-11 00:10:00,86,88,94,87,0
2022-08-11 00:15:00,90,90,95,92,0
2022-08-11 00:20:00,93,91,96,95,0
2022-08-11 00:25:00,94,92,96,96,0
2022-08-11 00:30:00,95,93,97,97,0
2022-08-11 00:35:00,96,93,97,98,0
2022-08-11 00:40:00,96,94,98,98,0
2022-08-11 00:45:00,97,94,98,99,0
2022-08-11 00:50:00,97,94,98,99,0
2022-08-11 00:55:00,96,93,97,98,0
2022-08-11 01:00:00,96,93,97,98,1
2022-08-11 01:10:00,96,92,96,97,1
2022-08-11 01:15:00,95,92,95,97,1
2022-08-11 01:20:00,95,92,95,96,1
2022-08-11 01:25:00,95,91,95,96,1
2022-08-11 01:30:00,94,91,94,95,1
2022-08-11 01:35:00,94,90,94,95,1
2022-08-11 01:40:00,94,90,93,95,1
2022-08-11 01:45:00,94,89,93,94,1
2022-08-11 01:50:00,93,89,93,94,1
2022-08-11 01:55:00,93,89,92,93,1
2022-08-11 02:00:00,92,89,92,93,2
2022-08-11 02:05:00,92,89,91,92,2
2022-08-11 02:10:00,92,88,91,92,2
2022-08-11 02:15:00,91,88,90,92,2
2022-08-11 02:20:00,91,87,90,91,2
2022-08-11 02:25:00,91,87,90,91,2
2022-08-11 02:30:00,90,87,89,90,2
2022-08-11 02:35:00,90,86,89,90,2
2022-08-11 02:40:00,90,86,89,90,2
2022-08-11 02:45:00,89,86,88,89,2
2022-08-11 02:50:00,89,85,88,89,2
2022-08-11 02:55:00,89,85,87,88,2
2022-08-11 03:00:00,88,84,87,88,3
2022-08-11 03:05:00,88,84,87,87,3
2022-08-11 03:10:00,88,84,86,87,3
2022-08-11 03:15:00,88,83,86,87,3
2022-08-11 03:20:00,87,83,86,86,3
2022-08-11 03:25:00,87,82,85,86,3
2022-08-11 03:30:00,87,82,85,86,3
2022-08-11 03:35:00,86,82,85,85,3
2022-08-11 03:40:00,86,81,84,85,3
2022-08-11 03:45:00,86,81,84,85,3
2022-08-11 03:50:00,86,81,84,84,3
2022-08-11 03:55:00,85,80,83,84,3
2022-08-11 04:00:00,85,80,83,83,4
2022-08-11 04:05:00,85,80,83,83,4
2022-08-11 04:10:00,84,80,82,83,4
2022-08-11 04:15:00,84,80,82,83,4
2022-08-11 04:20:00,83,80,81,82,4
2022-08-11 04:25:00,83,80,81,82,4
2022-08-11 04:30:00,83,79,81,81,4
2022-08-11 04:35:00,83,79,81,81,4
2022-08-11 04:40:00,83,79,80,81,4
2022-08-11 04:45:00,82,79,80,81,4
2022-08-11 04:50:00,82,78,80,80,4
2022-08-11 04:55:00,81,78,79,80,4
2022-08-11 05:00:00,81,78,79,79,5
2022-08-11 05:05:00,81,77,79,79,5
2022-08-11 05:10:00,81,77,78,79,5
2022-08-11 05:15:00,80,77,78,78,5
2022-08-11 05:20:00,80,77,78,78,5
2022-08-11 05:25:00,80,76,77,78,5
2022-08-11 05:30:00,79,76,77,77,5
2022-08-11 05:35:00,79,76,77,77,5
2022-08-11 05:40:00,79,76,76,77,5
2022-08-11 05:45:00,79,76,76,76,5
2022-08-11 05:50:00,78,75,76,76,5
2022-08-11 05:55:00,78,75,75,76,5
2022-08-11 06:00:00,78,75,75,75,6
2022-08-11 06:05:00,77,75,75,75,6
2022-08-11 06:10:00,77,74,74,75,6
2022-08-11 06:15:00,77,74,74,75,6
2022-08-11 06:20:00,76,74,74,74,6
2022-08-11 06:25:00,76,74,74,74,6
2022-08-11 06:30:00,76,73,73,74,6
2022-08-11 06:35:00,76,73,73,73,6
2022-08-11 06:40:00,75,73,73,73,6
2022-08-11 06:45:00,75,73,72,73,6
2022-08-11 06:50:00,75,72,72,72,6
2022-08-11 06:55:00,75,72,72,72,6
2022-08-11 07:00:00,74,72,71,72,7
2022-08-11 07:05:00,74,72,71,72,7
2022-08-11 07:10:00,74,71,71,71,7
2022-08-11 07:15:00,74,71,71,71,7
2022-08-11 07:20:00,73,71,70,71,7
2022-08-11 07:25:00,73,71,70,70,7
2022-08-11 07:30:00,73,70,70,70,7
2022-08-11 07:35:00,73,70,70,70,7
2022-08-11 07:40:00,72,70,70,70,7
2022-08-11 07:45:00,72,70,69,69,7
2022-08-11 07:50:00,72,69,69,69,7
2022-08-11 07:55:00,71,69,69,69,7
2022-08-11 08:00:00,71,69,68,69,8
2022-08-11 08:05:00,71,69,68,68,8
2022-08-11 08:10:00,71,68,68,68,8
2022-08-11 08:15:00,71,68,68,68,8
2022-08-11 08:20:00,70,68,68,68,8
2022-08-11 08:25:00,70,68,67,67,8
2022-08-11 08:30:00,70,67,67,67,8
2022-08-11 08:35:00,70,67,67,67,8
2022-08-11 08:40:00,70,67,67,67,8
2022-08-11 08:45:00,69,67,66,66,8
2022-08-11 08:50:00,69,67,66,66,8
2022-08-11 08:55:00,69,66,66,66,8
2022-08-11 09:00:00,69,66,66,66,9
2022-08-11 09:05:00,68,66,66,65,9
2022-08-11 09:10:00,68,66,65,65,9
2022-08-11 09:15:00,68,66,65,65,9
2022-08-11 09:20:00,68,65,65,65,9
2022-08-11 09:25:00,68,65,65,65,9
2022-08-11 09:30:00,67,65,64,64,9
2022-08-11 09:35:00,67,65,64,64,9
2022-08-11 09:40:00,67,64,64,64,9
2022-08-11 09:45:00,67,64,64,64,9
2022-08-11 09:50:00,67,64,64,64,9
2022-08-11 09:55:00,66,64,63,63,9
2022-08-11 10:00:00,66,64,63,63,10
2022-08-11 10:05:00,66,64,63,63,10
2022-08-11 10:10:00,66,63,63,63,10
2022-08-11 10:15:00,66,63,63,62,10
2022-08-11 10:20:00,65,63,63,62,10
2022-08-11 10:25:00,65,63,62,62,10
2022-08-11 10:30:00,65,63,62,62,10
2022-08-11 10:35:00,65,62,62,62,10
2022-08-11 10:40:00,65,62,62,62,10
2022-08-11 10:45:00,64,62,62,61,10
2022-08-11 10:50:00,64,62,62,61,10
2022-08-11 10:55:00,64,62,62,61,10
2022-08-11 11:00:00,64,62,61,61,11
2022-08-11 11:05:00,64,62,61,61,11
2022-08-11 11:10:00,64,61,61,60,11
2022-08-11 11:15:00,63,61,61,60,11
2022-08-11 11:20:00,63,61,61,60,11
2022-08-11 11:25:00,63,61,61,60,11
2022-08-11 11:30:00,63,61,60,60,11
2022-08-11 11:35:00,63,61,60,60,11
2022-08-11 11:40:00,63,60,60,59,11
2022-08-11 11:45:00,62,60,60,59,11
2022-08-11 11:50:00,62,60,60,59,11
2022-08-11 11:55:00,62,60,60,59,11
2022-08-11 12:00:00,62,60,59,59,12
2022-08-11 12:05:00,62,60,59,59,12
2022-08-11 12:10:00,62,59,59,58,12
2022-08-11 12:15:00,61,59,59,58,12
2022-08-11 12:20:00,61,59,59,58,12
2022-08-11 12:25:00,61,59,59,58,12
2022-08-11 12:35:00,61,59,58,58,12
2022-08-11 12:40:00,61,59,58,57,12
2022-08-11 12:45:00,60,58,58,57,12
2022-08-11 12:50:00,60,58,58,57,12
2022-08-11 12:55:00,60,58,58,57,12
2022-08-11 13:00:00,60,58,57,57,13
2022-08-11 13:05:00,60,58,57,57,13
2022-08-11 13:10:00,60,58,57,57,13
2022-08-11 13:15:00,60,58,57,56,13
2022-08-11 13:20:00,60,58,57,57,13
2022-08-11 13:25:00,60,59,58,57,13
2022-08-11 13:30:00,61,59,58,58,13
2022-08-11 13:35:00,61,59,59,58,13
2022-08-11 13:40:00,62,59,60,59,13
2022-08-11 13:45:00,62,59,60,60,13
2022-08-11 13:50:00,63,60,61,60,13
2022-08-11 13:55:00,63,60,61,61,13
2022-08-11 14:00:00,64,60,62,62,14
2022-08-11 14:05:00,64,61,62,62,14
2022-08-11 14:10:00,65,61,63,63,14
2022-08-11 14:15:00,65,62,63,63,14
2022-08-11 14:20:00,66,62,64,64,14
2022-08-11 14:25:00,66,63,64,64,14
2022-08-11 14:30:00,66,64,65,65,14
2022-08-11 14:35:00,67,64,65,65,14
2022-08-11 14:40:00,67,64,66,66,14
2022-08-11 14:45:00,68,65,66,66,14
2022-08-11 14:50:00,68,65,67,67,14
2022-08-11 14:55:00,69,66,67,67,14
2022-08-11 15:00:00,69,66,68,68,15
2022-08-11 15:05:00,70,67,68,68,15
2022-08-11 15:10:00,70,67,69,69,15
2022-08-11 15:15:00,71,67,69,69,15
2022-08-11 15:20:00,71,68,69,70,15
2022-08-11 15:25:00,71,68,70,70,15
2022-08-11 15:30:00,72,68,70,70,15
2022-08-11 15:35:00,72,69,71,71,15
2022-08-11 15:40:00,72,69,71,71,15
2022-08-11 15:45:00,73,70,71,71,15
2022-08-11 15:50:00,73,70,71,72,15
2022-08-11 15:55:00,73,71,72,72,15
2022-08-11 16:00:00,74,71,72,72,16
2022-08-11 16:05:00,74,71,72,72,16
2022-08-11 16:10:00,74,72,72,73,16
2022-08-11 16:15:00,74,72,73,73,16
2022-08-11 16:20:00,75,72,73,73,16
2022-08-11 16:25:00,75,73,73,74,16
2022-08-11 16:30:00,75,73,73,74,16
2022-08-11 16:35:00,76,73,74,74,16
2022-08-11 16:40:00,76,73,74,74,16
2022-08-11 16:45:00,76,74,74,75,16
2022-08-11 16:50:00,77,74,75,75,16
2022-08-11 16:55:00,77,74,75,75,16
2022-08-11 17:00:00,77,75,75,76,17
2022-08-11 17:05:00,78,75,76,76,17
2022-08-11 17:10:00,78,75,76,76,17
2022-08-11 17:15:00,78,76,76,77,17
2022-08-11 17:20:00,79,76,76,77,17
2022-08-11 17:25:00,79,76,77,77,17
2022-08-11 17:30:00,79,77,77,78,17
2022-08-11 17:35:00,80,77,77,78,17
2022-08-11 17:40:00,80,77,78,78,17
2022-08-11 17:45:00,80,77,78,79,17
2022-08-11 17:50:00,81,78,78,79,17
2022-08-11 17:55:00,81,77,79,79,17
2022-08-11 18:00:00,81,78,79,80,18
2022-08-11 18:05:00,82,78,79,80,18
2022-08-11 18:10:00,82,78,80,80,18
2022-08-11 18:15:00,82,79,80,80,18
2022-08-11 18:20:00,83,79,80,81,18
2022-08-11 18:25:00,83,80,80,81,18
2022-08-11 18:30:00,83,80,81,81,18
2022-08-11 18:35:00,84,80,81,82,18
2022-08-11 18:40:00,84,80,81,82,18
2022-08-11 18:45:00,84,80,82,82,18
2022-08-11 18:50:00,84,81,82,83,18
2022-08-11 18:55:00,85,81,82,83,18
2022-08-11 19:00:00,85,82,82,83,19
2022-08-11 19:05:00,85,82,83,83,19
2022-08-11 19:10:00,86,82,83,84,19
2022-08-11 19:15:00,86,82,83,84,19
2022-08-11 19:20:00,86,83,83,84,19
2022-08-11 19:25:00,86,83,84,84,19
2022-08-11 19:30:00,87,83,84,85,19
2022-08-11 19:35:00,87,84,84,85,19
2022-08-11 19:40:00,87,84,84,85,19
2022-08-11 19:45:00,87,84,85,85,19
2022-08-11 19:50:00,88,84,85,86,19
